id,Month,Day,Year,Time,module,timezone,Date,Likes,Retweet,text
129,Dec,26th,2020,6:23:35,PM,EST,129.Dec 26th 2020 - 6:23:35 PM EST,301k,79k,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,"
130,Nov,21st,2020,8:58:39,AM,EST,130.Nov 21st 2020 - 8:58:39 AM EST,459k,79k,Big voter fraud information coming out concerning Georgia. Stay tuned!
131,Sep,19th,2020,10:10:27,AM,EST,131.Sep 19th 2020 - 10:10:27 AM EST,303k,79k,".@GOP We were put in this position of power and importance to make decisions for the people who so proudly elected us, the most important of which has long been considered to be the selection of United States Supreme Court Justices. We have this obligation, without delay!"
132,Nov,25th,2020,12:45:04,PM,EST,132.Nov 25th 2020 - 12:45:04 PM EST,480k,78k,RIGGED ELECTION!
133,Nov,9th,2020,2:54:33,PM,EST,133.Nov 9th 2020 - 2:54:33 PM EST,363k,78k,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!"
134,Nov,10th,2020,10:33:47,AM,EST,134.Nov 10th 2020 - 10:33:47 AM EST,525k,78k,BALLOT COUNTING ABUSE!
135,Jan,5th,2021,10:28:36,PM,EST,135.Jan 5th 2021 - 10:28:36 PM EST,331k,78k,Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?
136,Nov,26th,2016,8:08:11,AM,EST,136.Nov 26th 2016 - 8:08:11 AM EST,172k,78k,Fidel Castro is dead!
137,Jan,6th,2020,9:48:27,AM,EST,137.Jan 6th 2020 - 9:48:27 AM EST,437k,78k,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!
138,Nov,11th,2020,6:48:57,PM,EST,138.Nov 11th 2020 - 6:48:57 PM EST,494k,77k,"Everyone is asking why the recent presidential polls were so inaccurate when it came to me. Because they are FAKE, just like much of the Lamestream Media!"
139,Nov,4th,2020,1:43:43,PM,EST,139.Nov 4th 2020 - 1:43:43 PM EST,419k,77k,"Wow! It looks like Michigan has now found the ballots necessary to keep a wonderful young man, John James, out of the U.S. Senate. What a terrible thing is happening!"
140,Dec,24th,2020,6:06:53,PM,EST,140.Dec 24th 2020 - 6:06:53 PM EST,336k,77k,"I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!"
141,Nov,8th,2020,8:38:19,AM,EST,141.Nov 8th 2020 - 8:38:19 AM EST,391k,77k,“We should look at the votes. We’re just beginning the tabulation stage. We should look at these allegations. We’re seeing a number of affidavits that there has been voter fraud. We have a history in this country of election problems. In Pennsylvania you had an order by a...
142,Jul,27th,2020,6:59:40,PM,EST,142.Jul 27th 2020 - 6:59:40 PM EST,486k,76k,MAKE AMERICA GREAT AGAIN!
143,Aug,3rd,2020,11:22:56,PM,EST,143.Aug 3rd 2020 - 11:22:56 PM EST,471k,76k,OPEN THE SCHOOLS!!!
144,Dec,31st,2019,8:30:35,PM,EST,144.Dec 31st 2019 - 8:30:35 PM EST,534k,76k,HAPPY NEW YEAR!
145,Oct,12th,2020,8:38:44,AM,EST,145.Oct 12th 2020 - 8:38:44 AM EST,479k,76k,California is going to hell. Vote Trump!
146,Jan,11th,2020,4:46:26,PM,EST,146.Jan 11th 2020 - 4:46:26 PM EST,340k,76k,به مردم شجاع و رنج کشیده ایران: من از ابتدای دوره ریاست جمهوریم با شما ایستاده‌ام و دولت من همچنان با شما خواهد ایستاد. ما اعتراضات شما را از نزدیک دنبال می کنیم. شجاعت شما الهام بخش است.
147,Nov,23rd,2020,11:07:18,PM,EST,147.Nov 23rd 2020 - 11:07:18 PM EST,345k,76k,What does GSA being allowed to preliminarily work with the Dems have to do with continuing to pursue our various cases on what will go down as the most corrupt election in American political history? We are moving full speed ahead. Will never concede to fake ballots & “Dominion”.
148,Jun,9th,2020,9:43:12,AM,EST,148.Jun 9th 2020 - 9:43:12 AM EST,488k,75k,MAKE AMERICA GREAT AGAIN!
149,Jan,5th,2020,3:25:32,PM,EST,149.Jan 5th 2020 - 3:25:32 PM EST,351k,75k,"These Media Posts will serve as notification to the United States Congress that should Iran strike any U.S. person or target, the United States will quickly &amp, fully strike back, &amp, perhaps in a disproportionate manner. Such legal notice is not required, but is given nevertheless!"
150,Jul,10th,2020,11:49:40,AM,EST,150.Jul 10th 2020 - 11:49:40 AM EST,304k,75k,"Too many Universities and School Systems are about Radical Left Indoctrination, not Education. Therefore, I am telling the Treasury Department to re-examine their Tax-Exempt Status..."
